beverage,calories,total_fat,sugar,sodium,protein,saturated_fat,carbohydrates
"Riesling, Spätlese ",268.4,22.2,8.2,8.8,36.0,32.2,4.0
Rioja Crianza,381.4,30.0,19.75,16.0,37.25,24.0,8.5
Rioja Gran Reserva,671.2,75.5,22.0,29.25,53.75,80.5,9.0
Rioja Reserva,407.97999999999996,41.4,64.2,37.0,37.8,39.2,7.2
"Rioja, Red",617.5941176470589,57.3235294117647,44.1764705882353,41.0,68.38235294117646,67.76470588235294,10.676470588235293
"Rioja, Rosé",326.4,23.0,8.0,3.0,31.0,10.0,3.0
"Rioja, White",369.80000000000007,35.142857142857146,15.714285714285714,16.571428571428573,31.0,53.857142857142854,8.0
Ripasso Valpolicella,466.98333333333335,33.5,24.166666666666668,100.83333333333333,71.66666666666667,34.833333333333336,8.666666666666666
Roditis,254.1,12.0,13.0,26.0,16.0,17.0,12.0
Rosado,644.4833333333333,68.16666666666667,38.5,40.333333333333336,73.83333333333333,79.16666666666667,7.0
Rosso Conero DOC,450.36249999999995,35.875,34.625,48.875,52.5,44.875,10.625
Rosso di Montalcino,772.25,69.0,25.5,32.5,90.0,88.5,15.5
Rosé,417.1115384615386,31.75,20.740384615384617,34.16346153846154,50.10576923076923,36.35576923076923,9.48076923076923
Roussanne,253.95,24.0,17.5,61.0,20.0,27.5,5.5
Rutherglen Muscat,259.8,17.0,76.0,4.0,12.0,35.0,12.0
Saignée Rosé ,410.9,5.0,57.0,2.0,5.0,2.0,15.0
"Saint Chinian, Rosé",117.0,14.0,0.0,3.0,5.0,6.0,2.0
Saint-Émilion AOC,937.2666666666668,126.66666666666667,32.0,70.66666666666667,56.333333333333336,133.66666666666666,4.0
Sancerre,473.903,42.13,41.76,32.19,44.98,53.53,11.08
Sangiovese,393.060606060606,29.242424242424242,30.90909090909091,28.242424242424242,36.54545454545455,39.27272727272727,11.303030303030303
Sassicaia - Super Tuscan,496.5,60.0,26.0,54.0,54.0,87.0,2.0
Sauternes,366.79285714285714,33.214285714285715,59.285714285714285,13.904761904761905,17.80952380952381,48.76190476190476,11.166666666666666
Sauvignon Blanc,375.2259090909089,29.804545454545455,20.62727272727273,25.78181818181818,41.6,36.19090909090909,8.931818181818182
Savennières,473.97857142857134,37.07142857142857,11.714285714285714,56.214285714285715,64.07142857142857,56.57142857142857,9.785714285714286
Semillon,392.02592592592595,31.555555555555557,23.62962962962963,25.037037037037038,50.25925925925926,39.55555555555556,8.074074074074074
Sherry,376.97499999999997,32.666666666666664,20.583333333333332,21.75,29.916666666666668,56.583333333333336,9.083333333333334
"Sherry, Amontillado",986.3124999999999,70.20833333333333,285.2083333333333,28.291666666666668,53.416666666666664,69.20833333333333,39.625
"Sherry, Cream ",372.2727272727273,25.818181818181817,62.45454545454545,15.181818181818182,19.454545454545453,37.54545454545455,15.636363636363637
"Sherry, Dry",366.76666666666665,16.666666666666668,30.666666666666668,34.666666666666664,24.333333333333332,20.333333333333332,16.666666666666668
"Sherry, Fino",442.8714285714286,31.057142857142857,20.02857142857143,35.714285714285715,53.02857142857143,32.857142857142854,12.228571428571428
"Sherry, Manzanilla",469.47857142857146,35.535714285714285,20.357142857142858,46.67857142857143,62.107142857142854,37.57142857142857,10.678571428571429
"Sherry, Oloroso",469.7439999999999,43.32,59.04,34.72,40.12,52.6,10.32
"Sherry, PX or Pedro Ximenez",334.6000000000002,31.0,65.07142857142857,12.928571428571429,13.071428571428571,46.57142857142857,11.785714285714286
"Sherry, Palo Cortado",365.8,24.666666666666668,36.333333333333336,23.333333333333332,16.0,32.0,14.333333333333334
"Sherry, Sweet ",308.1933333333334,23.933333333333334,64.93333333333334,18.0,21.6,39.2,10.333333333333334
Shiraz,544.6039603960394,48.99009900990099,36.79207920792079,39.386138613861384,57.05940594059406,62.603960396039604,11.089108910891088
Silvaner,180.5,14.0,7.0,9.0,8.0,8.0,6.0
Soave (Superiore),392.15675675675686,33.189189189189186,18.54054054054054,31.10810810810811,43.2972972972973,42.91891891891892,8.486486486486486
Soave Superiore Classico,210.7,6.0,36.0,8.5,8.5,2.0,12.0
Solaia - Super Tuscan,445.1,15.0,25.0,393.0,162.0,11.0,2.0
Sparkling Shiraz,380.6,49.0,43.0,82.0,2.0,25.0,8.0
Sparkling Wine,385.56293103448286,31.74137931034483,32.5948275862069,30.5,39.06896551724138,40.60344827586207,9.5
"Sparkling Wine, Brut",494.67999999999995,53.2,16.8,22.4,38.6,57.4,7.8
"Sparkling Wine, Demi-Sec",287.26666666666665,23.0,54.333333333333336,6.666666666666667,9.666666666666666,40.833333333333336,10.666666666666666
"Sparkling Wine, Dry",265.44,29.2,3.2,15.6,40.2,37.8,0.4
"Sparkling Wine, Rosé",412.825,35.6875,47.9375,32.5,31.1875,49.0,10.25
Spätlese Riesling,289.025,27.25,9.5,42.5,43.75,33.25,2.5
Super Tuscan,614.825,44.25,29.0,27.25,42.0,52.0,21.5
Sweet Marsala,343.5571428571429,26.142857142857142,93.71428571428571,13.0,11.0,44.42857142857143,13.428571428571429
Sylvaner ,320.1285714285714,21.571428571428573,15.571428571428571,23.571428571428573,35.57142857142857,22.285714285714285,9.285714285714286
Syrah,567.6299999999998,52.144444444444446,26.511111111111113,36.98888888888889,58.15555555555556,65.92222222222222,11.222222222222221
"Syrah, France",370.5,25.0,5.0,11.0,53.0,29.0,9.0
Tannat,722.4999999999999,76.1,89.9,91.6,62.8,98.0,11.4
Tannic Wine,230.8,3.0,7.0,5.0,59.0,1.0,3.0
Tassinaia - Super Tuscan,506.5,55.0,11.0,69.0,73.0,71.0,2.0
Taurasi,318.1,34.0,13.0,54.0,42.0,34.0,2.0
Tavel,249.525,14.5,30.25,22.75,5.25,8.5,8.25
Tempranillo,397.78,31.16,33.56,25.04,38.92,35.64,10.6
Tempranillo Crianza,267.6,31.0,9.0,5.0,20.0,48.0,4.0
Tempranillo Reserva,452.5,38.0,19.333333333333332,36.333333333333336,51.0,48.333333333333336,9.0
"Tempranillo, Spain",370.5,25.0,5.0,11.0,53.0,29.0,9.0
Tignanello - Super Tuscan,462.1,3.0,432.0,30.0,5.0,0.0,37.0
Tocai Friulano,502.76666666666665,36.0,8.0,24.0,36.0,47.333333333333336,18.333333333333332
Tokaji,268.6333333333334,26.5,57.333333333333336,10.833333333333334,12.166666666666666,34.166666666666664,7.166666666666667
"Tokaji, Hungary",364.8666666666666,31.0,62.666666666666664,15.333333333333334,24.666666666666668,51.333333333333336,10.666666666666666
Torrontés,383.56666666666666,34.875,24.458333333333332,23.583333333333332,29.708333333333332,36.458333333333336,9.833333333333334
Trebbiano,643.2333333333332,61.0,13.333333333333334,69.33333333333333,71.33333333333333,107.0,12.666666666666666
Trebbiano di Lugana,587.0,31.0,24.0,4.0,53.0,33.0,25.0
Tursan AOVDQS - White,180.5,14.0,7.0,9.0,8.0,8.0,6.0
Txakoli,683.85,76.0,12.5,89.0,85.0,125.5,5.0
Vacqueyras (AOC),600.5,72.0,32.8,19.4,34.8,86.2,8.0
Valpolicella,432.36875000000003,34.625,23.9375,35.3125,46.9375,42.8125,10.6875
Verdejo,423.11428571428576,34.142857142857146,36.57142857142857,21.142857142857142,26.571428571428573,47.142857142857146,14.285714285714286
Verdelho,435.6,37.0,54.75,27.25,30.5,50.5,13.5
Verdicchio,459.49999999999994,46.38461538461539,28.692307692307693,35.46153846153846,44.76923076923077,60.76923076923077,7.846153846153846
Verdicchio dei Castelli di Jesi (DOC),206.8,9.0,13.0,18.0,49.0,3.0,2.0
Verduzzo,27.4,2.0,9.0,0.0,2.0,3.0,0.0
Vermentino,449.7050000000001,33.925,20.025,29.075,40.75,45.175,13.925
Vermentino Liguria,322.9,8.0,71.0,6.0,87.0,6.0,8.0
Vernaccia,444.62857142857143,40.714285714285715,16.285714285714285,37.0,48.142857142857146,59.0,9.571428571428571
Vernaccia di San Gimignano (DOC),206.8,9.0,13.0,18.0,49.0,3.0,2.0
"Vernaccia di Serrapetrona Spumante, Red, Dry",314.9,15.0,10.0,9.5,19.0,7.0,15.0
Vignoles,433.4,25.0,142.0,12.0,9.0,20.0,23.0
Vin Gris,190.0,5.0,11.0,16.0,12.0,2.0,11.0
Vin Santo,683.7263157894736,54.473684210526315,211.10526315789474,40.68421052631579,29.68421052631579,62.421052631578945,26.36842105263158
Vin de Savoie - Red,330.15,27.0,74.0,20.5,44.5,49.5,7.0
Vin de Savoie - Sparkling,265.3,21.0,91.0,7.0,5.0,29.0,11.0
Vin de Savoie - White,117.0,14.0,0.0,3.0,5.0,6.0,2.0
Vinho Verde,408.30769230769226,31.615384615384617,18.076923076923077,21.76923076923077,53.38461538461539,47.30769230769231,9.076923076923077
Viognier,345.9492537313432,28.402985074626866,24.044776119402986,24.29850746268657,36.3134328358209,37.52238805970149,8.283582089552239
Viura,260.2,32.0,10.0,17.0,20.0,68.0,2.0
"Volnay, Red",251.2,11.5,4.5,26.5,44.0,7.0,8.0
Vouvray,435.7299999999999,38.7,26.2,23.833333333333332,44.2,47.733333333333334,9.066666666666666
Vouvray Moelleux,398.95000000000005,35.5,126.0,12.0,8.5,37.5,15.0
Vouvray Sparkling White Wine,188.65,20.0,27.0,9.5,9.0,35.0,4.5
Vouvray Sweet Viscous White Wine,409.4,31.5,125.25,10.5,17.75,64.25,16.5
Vézelay,176.53333333333333,10.0,7.0,11.666666666666666,27.0,11.0,4.666666666666667
White Wine,306.67142857142863,22.0,16.5,17.428571428571427,31.571428571428573,31.785714285714285,8.428571428571429
"White Wine, Italian",151.85,10.5,1.0,5.0,38.0,9.0,1.0
"White Wine, Oaked",1029.6666666666667,68.0,46.666666666666664,30.666666666666668,129.33333333333334,101.33333333333333,30.0
"White Wine, Unoaked",1536.7,37.0,21.0,52.0,213.0,18.0,71.0
White Zinfandel,910.84,75.0,224.73333333333332,64.13333333333334,64.2,74.4,29.866666666666667
Zinfandel,520.3964028776979,45.2589928057554,31.41007194244604,37.0,56.05755395683453,55.906474820143885,10.66906474820144
"Zinfandel, Late Harvest",325.2,23.5,99.5,7.5,6.5,50.0,14.5
Zweigelt,536.45,47.5,8.5,57.5,65.5,65.5,10.0
